2019-06-25 11:18:18 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:18:21 INFO  Retry:39 - Retrying testverifyLoginwith status nullfor the1time(s).
2019-06-25 11:18:21 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:18:21 INFO  Retry:39 - Retrying testverifyLoginwith status nullfor the2time(s).
2019-06-25 11:18:21 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:18:21 INFO  Retry:39 - Retrying testverifyLoginwith status nullfor the3time(s).
2019-06-25 11:18:21 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:18:22 INFO  TestBase:295 - Browser closed
2019-06-25 11:19:30 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:19:30 INFO  LoginPage:82 - Entered login id====>>Demo and object is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: //*[@id="username"]]
2019-06-25 11:19:30 INFO  LoginPage:82 - Entered password====>> and object is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: //*[@id="password"]]
2019-06-25 11:19:30 INFO  LoginPage:82 - Clicked on submit button is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: /html/body/div[2]/form[1]/div[6]/button]
2019-06-25 11:19:30 INFO  TestBase:155 - =========>Finished verify login
2019-06-25 11:19:31 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:19:31 INFO  LoginPage:82 - Entered login id====>> and object is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: //*[@id="username"]]
2019-06-25 11:19:31 INFO  LoginPage:82 - Entered password====>> and object is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: //*[@id="password"]]
2019-06-25 11:19:31 INFO  LoginPage:82 - Clicked on submit button is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: /html/body/div[2]/form[1]/div[6]/button]
2019-06-25 11:19:31 INFO  TestBase:155 - =========>Finished verify login
2019-06-25 11:19:32 INFO  TestBase:155 - =========>Started verify login
2019-06-25 11:19:32 INFO  LoginPage:82 - Entered login id====>> and object is[[ChromeDriver: chrome on XP (338bd0dffe1ca16af1d5e48ba1541564)] -> xpath: //*[@id="username"]]
